Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
3-UV-PET-1_2,UV-PET-42,1.21,37.9,1st Heating,205.93,254.81,242.2,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_3,UV-PET-43,1.47,38.79,1st Heating,211.57,253.08,241.4,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_4,UV-PET-44,1.27,36.13,1st Heating,205.85,253.26,242.6,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_5,UV-PET-45,1.27,36.1,1st Heating,205.31,256.41,242.2,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_1,UV-PET-46,1.3,35.91,1st Heating,207.04,254.77,242.5,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_2,UV-PET-47,1.45,35.87,1st Heating,206.03,257.19,241.9,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_3,UV-PET-48,1.17,34.84,1st Heating,206.73,255.93,241.8,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_4,UV-PET-49,1.27,34.22,1st Heating,206.7,257.7,240.8,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_5,UV-PET-50,1.53,35.52,1st Heating,206.68,255.97,241.9,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_1,UV-PET-51,1.53,36.19,1st Heating,207.3,256.9,242.6,0,0,x,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
