Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tc in °C,∆Hc in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tc,2 in °C"
2-UV-PET-2_1,1.14,163.6,205.1,194.6,-37.89,,,x,s,,,,,1st Cooling,
2-UV-PET-2_2,1.34,163.6,205,195.4,-37.48,,,x,s,,,,,1st Cooling,
2-UV-PET-2_3,1.35,163.6,204.4,193.9,-38.48,,,x,s,,,,,1st Cooling,
2-UV-PET-2_4,1.24,163.6,204.8,194,-37.51,,,x,s,,,,,1st Cooling,
2-UV-PET-2_5,1.29,163.6,204.6,194.6,-38.16,,,x,s,,,,,1st Cooling,
2-UV-PET-3_1,1.42,161.3,205.6,194.8,-38.75,,,x,s,,,,,1st Cooling,
2-UV-PET-3_2,1.26,161.3,205.6,195.4,-38.67,,,x,s,,,,,1st Cooling,
2-UV-PET-3_3,1.28,161.3,205.6,195.8,-37.92,,,x,s,,,,,1st Cooling,
2-UV-PET-3_4,1.46,161.3,205.6,195.4,-37.36,,,x,s,,,,,1st Cooling,
2-UV-PET-3_5,1.12,161.3,205.47,195.4,-37.35,,,x,s,,,,,1st Cooling,
2-UV-PET-4_1,1.19,160.3,205.7,195.8,-37.26,,,x,s,,,,,1st Cooling,
2-UV-PET-4_2,1.39,160.3,205.77,195.2,-38.48,,,x,s,,,,,1st Cooling,
2-UV-PET-4_3,1.35,160.3,205.63,195.4,-37.48,,,x,s,,,,,1st Cooling,
2-UV-PET-4_4,1.45,160.2,206.4,195.5,-40.49,,,x,s,,,,,1st Cooling,
2-UV-PET-4_5,1.44,160.2,206.4,195.7,-40.03,,,x,s,,,,,1st Cooling,
3-UV-PET-1_1,1.34,171.28,205.15,195,-36.77,,,x,s,,,,,1st Cooling,
3-UV-PET-1_2,1.21,170.67,204.47,195.7,-37.36,,,x,s,,,,,1st Cooling,
3-UV-PET-1_3,1.47,170.78,205.06,195.9,-36.24,,,x,s,,,,,1st Cooling,
3-UV-PET-1_4,1.27,171.72,205.7,196.4,-36.55,,,x,s,,,,,1st Cooling,
3-UV-PET-1_5,1.27,171.24,206.1,196.3,-35.72,,,x,s,,,,,1st Cooling,
3-UV-PET-2_1,1.3,167.7,206.8,195.9,-37.92,,,x,s,,,,,1st Cooling,
3-UV-PET-2_2,1.45,167.7,206.8,196,-38.25,,,x,s,,,,,1st Cooling,
3-UV-PET-2_3,1.17,167.7,206.8,195.7,-37.05,,,x,s,,,,,1st Cooling,
3-UV-PET-2_4,1.27,167.7,206.8,196,-37.77,,,x,s,,,,,1st Cooling,
3-UV-PET-2_5,1.53,167.7,206.8,196.6,-36.51,,,x,s,,,,,1st Cooling,
3-UV-PET-3_1,1.53,169.8,208.1,196,-38.95,,,x,s,,,,,1st Cooling,
3-UV-PET-3_2,1.42,169.8,208.1,196.7,-36.1,,,x,s,,,,,1st Cooling,
3-UV-PET-3_3,1.48,169.1,207.96,195.9,-35.69,,,x,s,,,,,1st Cooling,
3-UV-PET-3_4,1.41,169.8,208.1,196.5,-35.75,,,x,s,,,,,1st Cooling,
3-UV-PET-3_5,1.37,169.8,206.67,196.3,-35.47,,,x,s,,,,,1st Cooling,
3-UV-PET-4_1,1.46,170.6,206.8,196.2,-37.8,,,x,s,,,,,1st Cooling,
3-UV-PET-4_2,1.23,170.6,206.8,195.8,-37.65,,,x,s,,,,,1st Cooling,
3-UV-PET-4_3,1.39,170.6,206.5,195.4,-33.68,,,x,s,,,,,1st Cooling,
3-UV-PET-4_4,1.38,170.6,206.6,196,-37.67,,,x,s,,,,,1st Cooling,
3-UV-PET-4_5,1.33,170.6,206.7,195.9,-36.15,,,x,s,,,,,1st Cooling,
3-UV-PET-control-1_1,1.3,170.6,204.16,193.8,-33.5,,x,,s,,,,,1st Cooling,
3-UV-PET-control-1_2,1.31,169.91,205.43,193.6,-31.56,,x,,s,,,,,1st Cooling,
3-UV-PET-control-1_3,1.42,170.6,207.14,193.9,-32.45,,x,,s,,,,,1st Cooling,
3-UV-PET-control-1_4,1.22,170.13,204.26,193.1,-31.7,,x,,s,,,,,1st Cooling,
3-UV-PET-control-1_5,1.23,168.5,206.51,192.5,-31.16,,x,,s,,,,,1st Cooling,
3-UV-PET-control-2_1,1.22,167.9,206.2,191.7,-31.39,,x,,s,,,,,1st Cooling,
3-UV-PET-control-2_2,1.54,167.9,204.53,194.9,-32.52,,x,,s,,,,,1st Cooling,
3-UV-PET-control-2_3,1.3,167.9,205.5,193.9,-32.89,,x,,s,,,,,1st Cooling,
3-UV-PET-control-2_4,1.34,167.76,204.89,193.4,-32.74,,x,,s,,,,,1st Cooling,
3-UV-PET-control-2_5,1.43,167.9,204.97,193.4,-32.46,,x,,s,,,,,1st Cooling,
3-UV-PET-control-3_1,1.27,167.79,205.25,194.2,-33.54,,x,,s,,,,,1st Cooling,
3-UV-PET-control-3_2,1.27,168.6,205.7,194.2,-34.57,,x,,s,,,,,1st Cooling,
3-UV-PET-control-3_3,1.39,167.72,205.84,194.3,-33.24,,x,,s,,,,,1st Cooling,
3-UV-PET-control-3_4,1.18,167.8,206.6,193.1,-33.21,,x,,s,,,,,1st Cooling,
3-UV-PET-control-3_5,1.17,168,206.19,194.1,-32.08,,x,,s,,,,,1st Cooling,
1-EBT-PET-1_1,1.24,156.3,201.27,187.4,-37.82,,,x,s,,,,,1st Cooling,
1-EBT-PET-1_2,1.31,156.6,202.92,188.1,-39.86,,,x,s,,,,,1st Cooling,
1-EBT-PET-1_3,1.16,155,201.74,187,-39.58,,,x,s,,,,,1st Cooling,
1-EBT-PET-1_4,1.36,155.2,203.5,187.6,-40.37,,,x,s,,,,,1st Cooling,
1-EBT-PET-1_5,1.38,157.4,203.32,188.3,-40.37,,,x,s,,,,,1st Cooling,
1-EBT-PET-2_1,1.3,154.67,202.89,187.1,-39.32,,,x,s,,,,,1st Cooling,
1-EBT-PET-2_2,1.46,154.69,203.1,187.8,-40.45,,,x,s,,,,,1st Cooling,
1-EBT-PET-2_3,1.18,154.51,203.03,188,-39.39,,,x,s,,,,,1st Cooling,
1-EBT-PET-2_4,1.29,155.61,202.26,187.5,-39.68,,,x,s,,,,,1st Cooling,
1-EBT-PET-2_5,1.38,155.2,201.55,187.6,-39.03,,,x,s,,,,,1st Cooling,
1-EBT-PET-3_1,1.08,155.2,203.5,187.6,-39.47,,,x,s,,,,,1st Cooling,
1-EBT-PET-3_2,1.28,155.27,203.36,188.3,-38.5,,,x,s,,,,,1st Cooling,
1-EBT-PET-3_3,1.19,154.3,203.5,187.4,-40.66,,,x,s,,,,,1st Cooling,
1-EBT-PET-3_4,1.23,158.77,203.88,188.2,-39.41,,,x,s,,,,,1st Cooling,
1-EBT-PET-3_5,1.49,156.28,203.5,188.6,-40.05,,,x,s,,,,,1st Cooling,
1-EBT-PET-4_1,1.08,158.5,202,187.5,-39.81,,,x,s,,,,,1st Cooling,
1-EBT-PET-4_2,1.21,158.5,202.17,188.1,-38.32,,,x,s,,,,,1st Cooling,
1-EBT-PET-4_3,1.07,158.5,202.13,187.9,-39.17,,,x,s,,,,,1st Cooling,
1-EBT-PET-4_4,1.35,158.5,202.09,188.2,-38.14,,,x,s,,,,,1st Cooling,
