Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
2-UV-PET-3_1,UV-PET-31,1.42,35.6,2nd Heating,205.7,255.26,234.3,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_2,UV-PET-32,1.26,35.02,2nd Heating,205.7,254.86,233.8,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_3,UV-PET-33,1.28,34.56,2nd Heating,205.7,254.66,233.5,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_4,UV-PET-34,1.46,34.86,2nd Heating,205.7,253.6,233.7,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_5,UV-PET-35,1.12,33.59,2nd Heating,205.7,254.95,233.9,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_1,UV-PET-36,1.19,35.31,2nd Heating,204.0,255.95,234.2,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_2,UV-PET-37,1.39,36.07,2nd Heating,204.0,254.92,234.2,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_3,UV-PET-38,1.35,35.48,2nd Heating,204.0,256.7,233.2,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_4,UV-PET-76,1.45,35.78,2nd Heating,204.4,255.7,232.3,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_5,UV-PET-77,1.44,37.17,2nd Heating,204.4,255.49,234.1,x,0,0,s,0.0,0,0.0,0,0,Second UV-cycle (8 weeks irradiation)
3-UV-PE-1_1,UV-PE-41,1.48,119.8,2nd Heating,50.127,119.43,107.7,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_2,UV-PE-42,1.27,117.0,2nd Heating,50.0,119.29,106.7,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_3,UV-PE-43,1.37,118.6,2nd Heating,50.0,118.87,107.6,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_4,UV-PE-44,1.41,116.3,2nd Heating,50.0,118.16,107.3,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_5,UV-PE-45,1.47,116.8,2nd Heating,50.0,118.97,107.8,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_1,UV-PE-46,1.33,122.9,2nd Heating,50.0,120.0,107.1,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_2,UV-PE-47,1.36,120.7,2nd Heating,50.785,120.23,107.9,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_3,UV-PE-48,1.44,120.0,2nd Heating,50.08,120.97,107.7,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_4,UV-PE-49,1.37,111.6,2nd Heating,50.0,122.8,106.6,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_5,UV-PE-50,1.5,119.5,2nd Heating,50.05,120.2,107.4,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_1,UV-PE-51,1.49,117.5,2nd Heating,50.0,119.89,107.8,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_2,UV-PE-52,1.35,118.6,2nd Heating,50.0,121.88,107.4,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_3,UV-PE-53,1.3,119.8,2nd Heating,50.0,120.1,107.4,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_4,UV-PE-54,1.33,119.2,2nd Heating,50.0,120.63,107.5,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_5,UV-PE-55,1.35,120.5,2nd Heating,50.0,120.71,107.8,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_1,UV-PE-56,1.27,117.0,2nd Heating,50.0,120.94,107.4,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_2,UV-PE-57,1.32,118.3,2nd Heating,50.0,123.71,106.8,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_3,UV-PE-58,1.19,117.9,2nd Heating,50.0,118.59,107.6,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_4,UV-PE-59,1.46,121.3,2nd Heating,50.0,122.52,107.9,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_5,UV-PE-60,1.4,121.1,2nd Heating,50.0,120.0,107.6,0,x,0,l,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_1,UV-PET-41,1.34,36.22,2nd Heating,207.16,255.11,234.8,x,0,0,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_2,UV-PET-42,1.21,34.85,2nd Heating,207.65,254.94,233.4,x,0,0,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_3,UV-PET-43,1.47,35.51,2nd Heating,205.53,255.47,233.1,x,0,0,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_4,UV-PET-44,1.27,35.16,2nd Heating,206.13,256.18,234.3,x,0,0,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_5,UV-PET-45,1.27,35.75,2nd Heating,205.37,255.01,232.2,x,0,0,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_1,UV-PET-46,1.3,34.84,2nd Heating,207.1,253.43,233.9,x,0,0,s,0.0,0,0.0,0,0,Third UV-cycle (12 weks irradiation)
