Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hc in Jg-1,Segment,TStart in °C,TEnd in °C,Tc in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Aging Level
2-UV-PE-4_4,UV-PE-39,1.16,-119.3,1st Cooling,36.0,99.47,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_5,UV-PE-40,1.17,-121.1,1st Cooling,36.0,99.5,94.0,0,x,0,l,0,x,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_1,UV-PET-21,1.28,-37.35,1st Cooling,162.7,206.2,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_2,UV-PET-22,1.4,-39.42,1st Cooling,162.7,206.0,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_3,UV-PET-23,1.27,-38.71,1st Cooling,162.7,206.0,195.1,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_4,UV-PET-24,1.33,-38.64,1st Cooling,162.7,206.0,195.3,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_5,UV-PET-25,1.33,-37.8,1st Cooling,162.7,206.2,195.5,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_1,UV-PET-26,1.14,-37.89,1st Cooling,163.6,205.1,194.6,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_2,UV-PET-27,1.34,-37.48,1st Cooling,163.6,205.0,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_3,UV-PET-28,1.35,-38.48,1st Cooling,163.6,204.4,193.9,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_4,UV-PET-29,1.24,-37.51,1st Cooling,163.6,204.8,194.0,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_5,UV-PET-30,1.29,-38.16,1st Cooling,163.6,204.6,194.6,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_1,UV-PET-31,1.42,-38.75,1st Cooling,161.3,205.6,194.8,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_2,UV-PET-32,1.26,-38.67,1st Cooling,161.3,205.6,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_3,UV-PET-33,1.28,-37.92,1st Cooling,161.3,205.6,195.8,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_4,UV-PET-34,1.46,-37.36,1st Cooling,161.3,205.6,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_5,UV-PET-35,1.12,-37.35,1st Cooling,161.3,205.47,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_1,UV-PET-36,1.19,-37.26,1st Cooling,160.3,205.7,195.8,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_2,UV-PET-37,1.39,-38.48,1st Cooling,160.3,205.77,195.2,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_3,UV-PET-38,1.35,-37.48,1st Cooling,160.3,205.63,195.4,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_4,UV-PET-76,1.45,-40.49,1st Cooling,160.2,206.4,195.5,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_5,UV-PET-77,1.44,-40.03,1st Cooling,160.2,206.4,195.7,0,0,x,s,0,0,0,0,Second UV-cycle (8 weeks irradiation)
3-UV-PE-1_1,UV-PE-41,1.48,-127.0,1st Cooling,36.0,100.38,94.4,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_2,UV-PE-42,1.27,-126.0,1st Cooling,36.0,100.69,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_3,UV-PE-43,1.37,-127.6,1st Cooling,36.0,100.2,94.3,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_4,UV-PE-44,1.41,-124.9,1st Cooling,36.0,100.27,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_5,UV-PE-45,1.47,-124.5,1st Cooling,36.0,100.5,94.6,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_1,UV-PE-46,1.33,-130.0,1st Cooling,36.0,100.25,94.6,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_2,UV-PE-47,1.36,-128.9,1st Cooling,36.0,100.8,94.4,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_3,UV-PE-48,1.44,-126.3,1st Cooling,36.0,100.228,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_4,UV-PE-49,1.37,-122.6,1st Cooling,36.0,101.2,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_5,UV-PE-50,1.5,-125.1,1st Cooling,36.0,100.66,94.6,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_1,UV-PE-51,1.49,-125.2,1st Cooling,36.0,100.58,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_2,UV-PE-52,1.35,-127.2,1st Cooling,36.0,100.93,94.3,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_3,UV-PE-53,1.3,-127.9,1st Cooling,36.0,100.36,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_4,UV-PE-54,1.33,-127.3,1st Cooling,36.0,101.06,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_5,UV-PE-55,1.35,-127.6,1st Cooling,36.0,101.097,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_1,UV-PE-56,1.27,-123.9,1st Cooling,36.0,100.78,94.4,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_2,UV-PE-57,1.32,-128.9,1st Cooling,36.0,101.41,94.4,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_3,UV-PE-58,1.19,-126.6,1st Cooling,36.0,101.06,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_4,UV-PE-59,1.46,-126.7,1st Cooling,36.0,101.21,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_5,UV-PE-60,1.4,-126.7,1st Cooling,36.0,100.804,94.5,0,x,0,l,0,x,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_1,UV-PET-41,1.34,-36.77,1st Cooling,171.28,205.15,195.0,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_2,UV-PET-42,1.21,-37.36,1st Cooling,170.67,204.47,195.7,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_3,UV-PET-43,1.47,-36.24,1st Cooling,170.78,205.06,195.9,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_4,UV-PET-44,1.27,-36.55,1st Cooling,171.72,205.7,196.4,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_5,UV-PET-45,1.27,-35.72,1st Cooling,171.24,206.1,196.3,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_1,UV-PET-46,1.3,-37.92,1st Cooling,167.7,206.8,195.9,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_2,UV-PET-47,1.45,-38.25,1st Cooling,167.7,206.8,196.0,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_3,UV-PET-48,1.17,-37.05,1st Cooling,167.7,206.8,195.7,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_4,UV-PET-49,1.27,-37.77,1st Cooling,167.7,206.8,196.0,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_5,UV-PET-50,1.53,-36.51,1st Cooling,167.7,206.8,196.6,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_1,UV-PET-51,1.53,-38.95,1st Cooling,169.8,208.1,196.0,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_2,UV-PET-52,1.42,-36.1,1st Cooling,169.8,208.1,196.7,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_3,UV-PET-53,1.48,-35.69,1st Cooling,169.1,207.96,195.9,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_4,UV-PET-54,1.41,-35.75,1st Cooling,169.8,208.1,196.5,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_5,UV-PET-55,1.37,-35.47,1st Cooling,169.8,206.67,196.3,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_1,UV-PET-56,1.46,-37.8,1st Cooling,170.6,206.8,196.2,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_2,UV-PET-57,1.23,-37.65,1st Cooling,170.6,206.8,195.8,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_3,UV-PET-58,1.39,-33.68,1st Cooling,170.6,206.5,195.4,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_4,UV-PET-59,1.38,-37.67,1st Cooling,170.6,206.6,196.0,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_5,UV-PET-60,1.33,-36.15,1st Cooling,170.6,206.7,195.9,0,0,x,s,0,0,0,0,Third UV-cycle (12 weks irradiation)
