Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
1-EBT-PE-4_1,1.21,58,114.1,101.7,104.9,,,x,l,,,,,1st Heating,,
1-EBT-PE-4_2,1.08,58,112.1,102.1,102.4,,,x,l,,,,,1st Heating,,
1-EBT-PE-4_3,1.13,58.143,113.4,101.2,104.9,,,x,l,,,,,1st Heating,,
1-EBT-PE-4_4,1.21,58.45,112.2,103.2,101.6,,,x,l,,,,,1st Heating,,
1-EBT-PE-4_5,1.23,59.2,115,102.3,115.7,,,x,l,,,,,1st Heating,,
1-EBT-PE-1_1,1.18,58.01,114.42,98.2,86.79,1>2,,,s,,,,,2nd Heating,107.5,
1-EBT-PE-1_2,1.25,58.01,116.1,97.3,84.7,1>2,,,s,,,,,2nd Heating,106.1,
1-EBT-PE-1_3,1.07,58.01,115.24,98,86.94,1>2,,,s,,,,,2nd Heating,106.9,
1-EBT-PE-1_4,1.16,58.01,114.61,97.2,86.21,1>2,,,s,,,,,2nd Heating,106.8,
1-EBT-PE-1_5,1.16,58.01,118.28,97.4,85.46,1>2,,,s,,,,,2nd Heating,105.4,
1-EBT-PE-2_1,1.44,58,112.04,97.7,86.94,1>2,,,s,,,,,2nd Heating,106.5,
1-EBT-PE-2_2,1.05,58.5,113,98.5,89.58,1>2,,,s,,,,,2nd Heating,106.5,
1-EBT-PE-2_3,1.15,59.35,112.04,97.5,86.32,1>2,,,s,,,,,2nd Heating,104.9,
1-EBT-PE-2_4,1.27,58.83,113,97.7,85.76,1>2,,,s,,,,,2nd Heating,105.7,
1-EBT-PE-2_5,1.16,58.43,112.81,98.4,86.55,1>2,,,s,,,,,2nd Heating,105.9,
1-EBT-PE-3_1,1.08,58.13,113.41,96.9,90.29,1=2,,,s,,,,,2nd Heating,104,
1-EBT-PE-3_2,1.28,58.04,115.88,96.3,87.66,1=2,,,s,,,,,2nd Heating,104.4,
1-EBT-PE-3_3,1.19,58,113.9,98.6,89.98,1=2,,,s,,,,,2nd Heating,104.5,
1-EBT-PE-3_4,1.23,58,114.51,97.2,89.14,1=2,,,s,,,,,2nd Heating,105.3,
1-EBT-PE-3_5,1.49,58,115.06,97.7,89.86,1=2,,,s,,,,,2nd Heating,106.3,
1-EBT-PE-4_1,1.21,58.26,117.87,98.1,86.24,1>2,,,s,,,,,2nd Heating,105.6,
1-EBT-PE-4_2,1.08,58,114.66,97.8,87.45,1>2,,,s,,,,,2nd Heating,105.5,
1-EBT-PE-4_3,1.13,58,112.12,97,84.94,1>2,,,s,,,,,2nd Heating,105.7,
1-EBT-PE-4_4,1.21,58,115.55,97.9,85.45,1>2,,,s,,,,,2nd Heating,105.3,
1-EBT-PE-4_5,1.23,58,114.94,97.9,87.28,1>2,,,s,,,,,2nd Heating,106.5,
2-EBT-PE-1_1,1.15,58.74,112.04,99.8,103.9,,,x,l,,,,,1st Heating,,
2-EBT-PE-1_2,1.46,58,114.76,100.3,108.9,,,x,l,,,,,1st Heating,,
2-EBT-PE-1_3,1.23,58,113.174,100.4,106.1,,,x,l,,,,,1st Heating,,
2-EBT-PE-1_4,1.24,58,114.1,100.3,107.8,,,x,l,,,,,1st Heating,,
2-EBT-PE-1_5,1.45,58,114.3,100.4,106.6,,,x,l,,,,,1st Heating,,
2-EBT-PE-2_1,1.17,60,113.26,100.7,106.3,,,x,l,,,,,1st Heating,,
2-EBT-PE-2_2,1.35,60.51,114.42,100.5,103.7,,,x,l,,,,,1st Heating,,
2-EBT-PE-2_3,1.29,60,113.65,100,104.6,,,x,l,,,,,1st Heating,,
2-EBT-PE-2_4,1.2,60,114.1,99.9,103.2,,,x,l,,,,,1st Heating,,
2-EBT-PE-2_5,1.33,68.6,114.91,100.3,107.1,,,x,l,,,,,1st Heating,,
2-EBT-PE-3_1,1.1,59.55,113.82,100.1,106.2,,,x,l,,,,,1st Heating,,
2-EBT-PE-3_2,1.27,58.8,114.9,100.3,107.3,,,x,l,,,,,1st Heating,,
2-EBT-PE-3_3,1.3,58.6,114.86,100,106.1,,,x,l,,,,,1st Heating,,
2-EBT-PE-3_4,1.2,58.6,112.68,99.5,105.7,,,x,l,,,,,1st Heating,,
2-EBT-PE-3_5,1.22,58.85,114.8,99.8,106.8,,,x,l,,,,,1st Heating,,
2-EBT-PE-4_1,1.48,58,114.32,100.7,108.2,,,x,l,,,,,1st Heating,,
2-EBT-PE-4_2,1.47,58,114,100.4,109.7,,,x,l,,,,,1st Heating,,
2-EBT-PE-4_3,1.39,58,115.38,100.5,108.5,,,x,l,,,,,1st Heating,,
2-EBT-PE-4_4,1.31,58,113.58,100,106.9,,,x,l,,,,,1st Heating,,
2-EBT-PE-4_5,1.48,57.6,115,101,106.8,,,x,l,,,,,1st Heating,,
2-EBT-PE-1_1,1.15,59.2,112.8,94,71.66,,,x,s,,,,,2nd Heating,,
2-EBT-PE-1_2,1.46,59.36,109.75,95.4,75.05,,,x,s,,,,,2nd Heating,,
2-EBT-PE-1_3,1.23,59.2,112.37,94.4,72.36,,,x,s,,,,,2nd Heating,,
2-EBT-PE-1_4,1.24,59.43,112.45,95.4,76.3,,,x,s,,,,,2nd Heating,,
2-EBT-PE-1_5,1.45,59.2,109.79,95.1,74.23,,,x,s,,,,,2nd Heating,,
2-EBT-PE-2_1,1.17,59.2,112.93,94.2,73.79,,,x,s,,,,,2nd Heating,,
2-EBT-PE-2_2,1.35,59.35,112.94,94.6,75.8,,,x,s,,,,,2nd Heating,,
2-EBT-PE-2_3,1.29,58.74,111.35,95.2,74.28,,,x,s,,,,,2nd Heating,,
2-EBT-PE-2_4,1.2,58.3,111.98,95.3,73.01,,,x,s,,,,,2nd Heating,,
2-EBT-PE-2_5,1.33,59.2,112.44,95.2,75.47,,,x,s,,,,,2nd Heating,,
2-EBT-PE-3_1,1.1,58.5,112.81,94.3,74.06,,,x,s,,,,,2nd Heating,,
2-EBT-PE-3_2,1.27,59.6,109.9,94.3,73.1,,,x,s,,,,,2nd Heating,,
2-EBT-PE-3_3,1.3,58.32,113.02,94.4,73.87,,,x,s,,,,,2nd Heating,,
2-EBT-PE-3_4,1.2,58.5,110.01,94.5,74.71,,,x,s,,,,,2nd Heating,,
2-EBT-PE-3_5,1.22,58.5,110.35,94.5,72.73,,,x,s,,,,,2nd Heating,,
2-EBT-PE-4_1,1.48,58.5,112.46,95.9,75.34,,,x,s,,,,,2nd Heating,,
2-EBT-PE-4_2,1.47,58.5,112.24,95.7,79.3,,,x,s,,,,,2nd Heating,,
2-EBT-PE-4_3,1.39,58.5,111.77,95.2,77.92,,,x,s,,,,,2nd Heating,,
2-EBT-PE-4_4,1.31,58.5,111.13,95.2,77.3,,,x,s,,,,,2nd Heating,,
2-EBT-PE-4_5,1.48,58.1,112.94,95.3,79.24,,,x,s,,,,,2nd Heating,,
3-EBT-PE-1_1,1.24,64.59,108.74,98.5,90.2,,,x,l,,,,,1st Heating,,
3-EBT-PE-1_2,1.27,64.3,110.08,98.7,91.2,,,x,l,,,,,1st Heating,,
3-EBT-PE-1_3,1.34,64.57,110.23,98.7,88.28,,,x,l,,,,,1st Heating,,
3-EBT-PE-1_4,1.37,65.51,108.47,97.9,90.14,,,x,l,,,,,1st Heating,,
3-EBT-PE-1_5,1.17,64.9,109.2,98.6,89.95,,,x,l,,,,,1st Heating,,
3-EBT-PE-2_1,1.47,65.3,111.73,99,89.28,,,x,l,,,,,1st Heating,,
3-EBT-PE-2_2,1.25,65.3,111.1,98.8,88.85,,,x,l,,,,,1st Heating,,
3-EBT-PE-2_3,1.28,65.39,112.3,98.4,89.41,,,x,l,,,,,1st Heating,,
3-EBT-PE-2_4,1.43,65.3,111.07,98.5,90.67,,,x,l,,,,,1st Heating,,
3-EBT-PE-2_5,1.5,65.3,110.18,98.6,88.81,,,x,l,,,,,1st Heating,,
3-EBT-PE-3_1,1.18,64.48,112.41,98.2,90.31,,,x,l,,,,,1st Heating,,
3-EBT-PE-3_2,1.29,64.44,113.5,98.7,90.7,,,x,l,,,,,1st Heating,,
3-EBT-PE-3_3,1.44,65.3,113,99.1,91.85,,,x,l,,,,,1st Heating,,
3-EBT-PE-3_4,1.34,65.3,111.83,99,92.43,,,x,l,,,,,1st Heating,,
3-EBT-PE-3_5,1.37,65.3,113.31,98.7,89.668,,,x,l,,,,,1st Heating,,
3-EBT-PE-4_1,1.34,63.4,111.8,98.3,92.29,,,x,l,,,,,1st Heating,,
3-EBT-PE-4_2,1.38,63.32,112.9,98.9,93.55,,,x,l,,,,,1st Heating,,
3-EBT-PE-4_3,1.35,65.8,111.7,98.9,93.73,,,x,l,,,,,1st Heating,,
3-EBT-PE-4_4,1.36,65.9,110.95,99.2,88.84,,,x,l,,,,,1st Heating,,
