Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
2-EBT-PE-3_2,eb-PE-32,1.27,73.1,2nd Heating,PE,59.6,109.9,94.3,94,7.13856,wide,left,undefined,Second EBT
2-EBT-PE-3_3,eb-PE-33,1.3,73.87,2nd Heating,PE,58.32,113.02,94.4,94,6.83569,wide,left,undefined,Second EBT
2-EBT-PE-3_4,eb-PE-34,1.2,74.71,2nd Heating,PE,58.5,110.01,94.5,94,7.32022,wide,left,undefined,Second EBT
2-EBT-PE-3_5,eb-PE-35,1.22,72.73,2nd Heating,PE,58.5,110.35,94.5,94,7.52216,wide,left,undefined,Second EBT
2-EBT-PE-4_1,eb-PE-36,1.48,75.34,2nd Heating,PE,58.5,112.46,95.9,96,6.52498,wide,left,undefined,Second EBT
2-EBT-PE-4_2,eb-PE-37,1.47,79.3,2nd Heating,PE,58.5,112.24,95.7,96,6.60907,wide,left,undefined,Second EBT
2-EBT-PE-4_3,eb-PE-38,1.39,77.92,2nd Heating,PE,58.5,111.77,95.2,95,6.64067,wide,left,undefined,Second EBT
2-EBT-PE-4_4,eb-PE-39,1.31,77.3,2nd Heating,PE,58.5,111.13,95.2,95,6.81921,wide,left,undefined,Second EBT
2-EBT-PE-4_5,eb-PE-61,1.48,79.24,2nd Heating,PE,58.1,112.94,95.3,95,5.23297,wide,left,undefined,Second EBT
3-EBT-PE-1_1,eb-PE-41,1.24,73.14,2nd Heating,PE,50.4,108.18,92.3,92,7.16662,wide,left,undefined,Third EBT
3-EBT-PE-1_2,eb-PE-42,1.27,73.73,2nd Heating,PE,51.31,110.4,93.2,93,6.72763,wide,left,undefined,Third EBT
3-EBT-PE-1_3,eb-PE-43,1.34,72.46,2nd Heating,PE,50.52,110.36,92.0,92,6.62757,wide,left,undefined,Third EBT
3-EBT-PE-1_4,eb-PE-44,1.37,75.4,2nd Heating,PE,50.63,109.56,93.2,93,6.5944,wide,left,undefined,Third EBT
3-EBT-PE-1_5,eb-PE-62,1.31,75.83,2nd Heating,PE,53.7,109.6,93.5,94,6.33791,wide,left,undefined,Third EBT
3-EBT-PE-2_1,eb-PE-46,1.47,75.32,2nd Heating,PE,52.7,110.01,93.6,94,6.17486,wide,left,undefined,Third EBT
3-EBT-PE-2_2,eb-PE-47,1.25,75.64,2nd Heating,PE,52.7,110.12,93.5,94,6.97527,wide,left,undefined,Third EBT
3-EBT-PE-2_3,eb-PE-48,1.28,75.08,2nd Heating,PE,54.0,111.56,93.0,93,6.98893,wide,left,undefined,Third EBT
3-EBT-PE-2_4,eb-PE-49,1.43,75.37,2nd Heating,PE,54.0,109.78,93.1,93,6.53105,wide,left,undefined,Third EBT
3-EBT-PE-2_5,eb-PE-50,1.5,75.53,2nd Heating,PE,54.62,109.19,93.3,93,6.21124,wide,left,undefined,Third EBT
3-EBT-PE-3_1,eb-PE-51,1.18,75.17,2nd Heating,PE,52.7,110.75,93.4,93,7.12184,wide,left,undefined,Third EBT
3-EBT-PE-3_2,eb-PE-52,1.29,74.76,2nd Heating,PE,53.1,112.4,93.9,94,6.69421,wide,left,undefined,Third EBT
3-EBT-PE-3_3,eb-PE-53,1.44,74.84,2nd Heating,PE,52.9,109.73,94.1,94,6.3802,wide,left,undefined,Third EBT
3-EBT-PE-3_4,eb-PE-54,1.34,75.85,2nd Heating,PE,53.3,112.4,93.3,93,6.71074,wide,left,undefined,Third EBT
3-EBT-PE-3_5,eb-PE-55,1.37,73.48,2nd Heating,PE,54.2,109.64,93.5,94,6.57704,wide,left,undefined,Third EBT
3-EBT-PE-4_1,eb-PE-56,1.34,75.67,2nd Heating,PE,52.5,111.68,93.4,93,6.68234,wide,left,undefined,Third EBT
3-EBT-PE-4_2,eb-PE-57,1.38,74.97,2nd Heating,PE,55.0,109.08,93.6,94,6.46357,wide,left,undefined,Third EBT
3-EBT-PE-4_3,eb-PE-58,1.35,75.39,2nd Heating,PE,55.0,112.292,93.2,93,6.72744,wide,left,undefined,Third EBT
3-EBT-PE-4_4,eb-PE-59,1.36,72.86,2nd Heating,PE,54.6,112.9,93.4,93,6.29116,wide,left,undefined,Third EBT
3-EBT-PE-4_5,eb-PE-60,1.34,74.65,2nd Heating,PE,54.5,110.33,94.0,94,6.61259,wide,left,undefined,Third EBT
